"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"BIM",13,99.1538461538462,84.7130904424322,61,265,14,"BIM",64.2857142857143,0,-12,0,NA
"INFO",79,177.329113924051,128.536009273565,144,419,1,"INFO",6.25,2.5,-12.0379746835443,0,NA
"GEN",46,181.086956521739,98.908673046729,185.5,349,2,"GEN",59.5744680851064,0,-11.8478260869565,0,NA
"AUT",7,216.428571428571,180.755688838883,182,488,32,"AUT",37.5,0,-12.4285714285714,0,NA
"GCU",76,265.013157894737,140.521077272752,275,488,26,"GCU",38.961038961039,6.49350649350649,-12.0263157894737,0,NA
"BB",23,274.347826086957,123.965760923825,231,474,18,"BB",66.6666666666667,12.5,-12.0434782608696,0,NA
"TCOM",56,315.517857142857,167.172202024948,315,585,13,"TCOM",14.0350877192982,3.50877192982456,-12.1071428571429,0,NA
"GMD",53,336.660377358491,174.87170499411,326,645,17,"GMD",29.6296296296296,7.40740740740741,-12.0188679245283,0,NA
"GE",74,342.418918918919,169.72104484073,349.5,588,7,"GE",12,5.33333333333333,-12.013698630137,0,NA
"SGM",51,410.039215686275,167.842659748267,464,660,23,"SGM",40.3846153846154,15.3846153846154,-12.2352941176471,0,NA
"GMC",85,413.494117647059,196.215359304237,481,649,4,"GMC",18.6046511627907,8.13953488372093,-12.1428571428571,0,NA
"GI",64,448.1875,157.045021853254,491,650,35,"GI",38.4615384615385,7.69230769230769,-12.125,0,NA
