"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"GEN",46,163.652173913043,114.481093517431,142,536,9,"GEN",31.9148936170213,0,-6.58695652173913,0,NA
"GCU",65,166.815384615385,100.107893717805,165,371,3,"GCU",33.3333333333333,6.06060606060606,-7.04615384615385,0,NA
"GI",57,167.59649122807,95.998299770867,180,378,6,"GI",34.4827586206897,5.17241379310345,-7.03508771929825,0,NA
"BB",24,285.083333333333,158.580089946803,331.5,531,17,"BB",80,4,-6.91666666666667,0,NA
"INFO",76,300.513157894737,169.441001997435,313.5,590,2,"INFO",12.987012987013,3.8961038961039,-7.13157894736842,0,NA
"SGM",52,304.903846153846,142.715850915601,343.5,512,7,"SGM",50.9433962264151,7.54716981132075,-6.90384615384615,0,NA
"GMC",84,307.535714285714,148.672231583648,327,534,31,"GMC",18.8235294117647,8.23529411764706,-7.05952380952381,0,NA
"BIM",19,341,185.791998392468,389,582,100,"BIM",70,0,-6.94736842105263,0,NA
"GE",66,406,175.49613188812,436.5,630,1,"GE",31.3432835820896,5.97014925373134,-7.21212121212121,0,NA
"GMD",50,427.04,133.422753008654,464,567,5,"GMD",31.3725490196078,5.88235294117647,-7.16,0,NA
"TCOM",44,440.977272727273,176.338533909144,530.5,633,27,"TCOM",22.2222222222222,2.22222222222222,-7.18181818181818,0,NA
"GMPP",29,507.965517241379,124.829164048488,545,631,118,"GMPP",33.3333333333333,13.3333333333333,-7.3448275862069,0,NA
