"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"GEN",38,131.973684210526,87.4397048912286,100.5,305,3,"GEN",64.1025641025641,0,-7.86842105263158,0,NA
"GCU",59,152.203389830508,82.8348543293172,154,298,5,"GCU",31.6666666666667,5,-8.03389830508475,0,NA
"BB",21,190.142857142857,128.633310504817,203,412,7,"BB",72.7272727272727,9.09090909090909,-8.38095238095238,0,NA
"GI",53,209.22641509434,100.986602597617,226,358,29,"GI",33.3333333333333,14.8148148148148,-8.07547169811321,0,NA
"INFO",60,282.6,145.052789922865,318.5,497,8,"INFO",13.1147540983607,4.91803278688525,-8.11666666666667,0,NA
"TCOM",50,286.1,156.494408845811,308.5,506,9,"TCOM",29.4117647058824,13.7254901960784,-8.18,0,NA
"SGM",50,291.54,142.853887105757,306,563,6,"SGM",43.1372549019608,7.84313725490196,-8.1,0,NA
"BIM",14,297,215.190076980258,353.5,546,4,"BIM",73.3333333333333,20,-8.35714285714286,0,NA
"GMD",48,307.125,154.874503073061,350.5,522,1,"GMD",30.6122448979592,8.16326530612245,-8.02083333333333,0,NA
"GMC",75,310.893333333333,143.365962764107,365,489,18,"GMC",27.6315789473684,10.5263157894737,-8.02666666666667,0,NA
"GE",58,378.086206896552,157.264363914047,410.5,549,2,"GE",22.0338983050847,13.5593220338983,-8.18965517241379,0,NA
"GMPP",13,499.076923076923,60.9842350372367,528,550,348,"GMPP",35.7142857142857,21.4285714285714,-8.61538461538461,0,NA
