"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"GCU",61,143.131147540984,92.3292072621725,145,314,3,"GCU",38.7096774193548,3.2258064516129,-8.85245901639344,0,NA
"GEN",40,158.425,91.4018704572118,149.5,360,5,"GEN",58.5365853658537,2.4390243902439,-9.075,0,NA
"BB",22,198.545454545455,131.690013821321,182,442,12,"BB",86.9565217391304,0,-8.86363636363636,0,NA
"TCOM",52,199.75,129.851631019527,198,425,1,"TCOM",20.7547169811321,5.66037735849057,-9.09615384615385,0,NA
"GMD",48,270.9375,140.346138400135,289,500,13,"GMD",22.4489795918367,4.08163265306122,-8.95833333333333,0,NA
"GI",52,299,116.944766583941,336,446,4,"GI",54.7169811320755,7.54716981132075,-8.96153846153846,0,NA
"SGM",50,310.48,125.073568554753,329,481,10,"SGM",52.9411764705882,1.96078431372549,-8.86,0,NA
"GE",64,324.59375,178.912297282908,354.5,579,14,"GE",21.5384615384615,10.7692307692308,-9.140625,0,NA
"GMC",78,334.423076923077,160.662954395483,360.5,558,23,"GMC",22.7848101265823,8.86075949367089,-9.05128205128205,0,NA
"AUT",2,341,236.173664916307,341,508,174,"AUT",100,0,-8.5,0,NA
"INFO",62,359.129032258065,175.12707179205,426.5,572,8,"INFO",7.93650793650794,11.1111111111111,-9.16129032258065,0,NA
"BIM",14,392.857142857143,134.573318388074,454.5,511,111,"BIM",60,6.66666666666667,-9.21428571428571,0,NA
"GMPP",3,526,33.0605505096331,519,562,497,"GMPP",50,0,-8.33333333333333,0,NA
