"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"GEN",39,174.487179487179,117.162925650986,144,425,10,"GEN",62.5,0,-9.94871794871795,0,NA
"GCU",58,174.603448275862,80.2917792333822,196,319,6,"GCU",38.9830508474576,5.08474576271187,-9.98275862068965,0,NA
"AUT",3,176.333333333333,192.032115369626,134,386,9,"AUT",75,0,-9.66666666666667,0,NA
"BB",21,216.285714285714,139.196674837132,186,481,8,"BB",72.7272727272727,9.09090909090909,-9.90476190476191,0,NA
"BIM",13,227.615384615385,164.783968911592,217,450,2,"BIM",57.1428571428571,0,-10.1538461538462,0,NA
"TCOM",57,235.543859649123,155.968296936021,201,523,18,"TCOM",18.9655172413793,5.17241379310345,-10,0,NA
"GMD",47,252.787234042553,143.953938310929,262,513,3,"GMD",22.9166666666667,8.33333333333333,-9.97872340425532,0,NA
"INFO",56,272.464285714286,157.169620507239,277,530,11,"INFO",10.5263157894737,7.01754385964912,-10.1607142857143,0,NA
"SGM",45,278.666666666667,158.870587700693,303,518,1,"SGM",47.8260869565217,8.69565217391304,-9.95555555555556,0,NA
"GE",55,298.818181818182,164.556203492132,285,514,7,"GE",25,8.92857142857143,-10.2363636363636,0,NA
"GI",54,306,118.710365779052,329,458,37,"GI",41.8181818181818,5.45454545454545,-9.96296296296296,0,NA
"GMC",78,338.192307692308,153.298542253157,361.5,517,4,"GMC",24.0506329113924,2.53164556962025,-10.0128205128205,0,NA
"GMPP",6,455.5,95.7345287761944,500,526,277,"GMPP",71.4285714285714,28.5714285714286,-10.1666666666667,0,NA
