"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"GEN",46,164.108695652174,98.623916022404,160,321,2,"GEN",48.936170212766,4.25531914893617,0.0869565217391304,23.9130434782609,1
"BIM",17,204.411764705882,175.741308043787,172,499,15,"BIM",50,16.6666666666667,0.117647058823529,29.4117647058824,1
"GCU",67,211.179104477612,142.962161276198,182,470,5,"GCU",41.1764705882353,1.47058823529412,0.0447761194029851,17.910447761194,1.08333333333333
"GI",55,239.109090909091,122.818998519392,261,422,1,"GI",41.0714285714286,3.57142857142857,-0.0363636363636364,12.7272727272727,1
"BB",20,249.6,159.272160318844,224.5,465,3,"BB",66.6666666666667,4.76190476190476,0.15,20,1
"INFO",73,260.972602739726,142.445503478303,263,493,10,"INFO",10.8108108108108,5.40540540540541,0.0821917808219178,20.5479452054795,1
"GMD",62,296.806451612903,202.679577425145,278.5,583,4,"GMD",34.9206349206349,7.93650793650794,-0.0806451612903226,8.06451612903226,1
"SGM",52,315.5,134.980100203624,331,507,24,"SGM",35.8490566037736,0,0.0961538461538462,19.2307692307692,1
"GMC",80,333.825,153.621166048913,350.5,558,9,"GMC",23.4567901234568,7.40740740740741,-0.0875,8.75,1
"TCA",1,349,NA,349,349,349,"TCA",100,0,-3,0,NA
"GMCIP",4,363.75,195.655096193957,392.5,571,99,"GMCIP",80,20,0,25,1
"GEA",1,424,NA,424,424,424,"GEA",50,0,0,0,NA
"GE",69,455.275362318841,188.040036730133,542,648,22,"GE",18.5714285714286,11.4285714285714,-0.0869565217391304,13.0434782608696,1
"TCOM",44,466.431818181818,131.095278280017,515,582,83,"TCOM",26.6666666666667,8.88888888888889,0.0227272727272727,22.7272727272727,1
"GMPP",29,509.51724137931,109.64215192084,540,625,222,"GMPP",33.3333333333333,16.6666666666667,-0.344827586206897,0,NA
