"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"GEN",50,127.62,79.5715285970133,124.5,289,5,"GEN",50.9803921568627,1.96078431372549,-5.06,0,NA
"GCU",65,169.938461538462,106.800760314925,156,372,4,"GCU",39.3939393939394,6.06060606060606,-5.07692307692308,0,NA
"BB",21,256.809523809524,193.319843535944,275,520,2,"BB",63.6363636363636,0,-4.71428571428571,0,NA
"GI",56,257.035714285714,120.072245568425,260,424,8,"GI",33.3333333333333,14.0350877192982,-5.16071428571429,0,NA
"GMD",55,257.381818181818,134.1721518422,246,464,6,"GMD",17.8571428571429,5.35714285714286,-5.01818181818182,0,NA
"SGM",57,298.824561403509,130.493448495511,317,504,12,"SGM",48.2758620689655,6.89655172413793,-5.12280701754386,0,NA
"GE",71,349.676056338028,154.110329184543,402,540,9,"GE",27.7777777777778,8.33333333333333,-5.2112676056338,0,NA
"BIM",18,369.5,207.91011915503,435,601,10,"BIM",73.6842105263158,0,-5.16666666666667,0,NA
"INFO",71,390.239436619718,172.500059195744,432,605,43,"INFO",18.0555555555556,12.5,-5.2112676056338,0,NA
"GMC",87,392.367816091954,187.18068095892,440,641,1,"GMC",22.7272727272727,4.54545454545455,-5.03448275862069,0,NA
"TCOM",40,415.4,198.509032281748,496,642,33,"TCOM",31.7073170731707,4.8780487804878,-5.25,0,NA
"AUT",1,484,NA,484,484,484,"AUT",50,50,-6,0,NA
"GMPP",27,545.481481481482,92.2931659985098,575,646,272,"GMPP",50,21.4285714285714,-5.62962962962963,0,NA
