"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"AUT",1,102,NA,102,102,102,"AUT",50,0,-4,0,NA
"GEN",49,156.489795918367,111.367283206099,135,391,6,"GEN",48,0,-3.95918367346939,0,NA
"BB",22,183.863636363636,109.28786603433,186.5,414,7,"BB",78.2608695652174,8.69565217391304,-4.27272727272727,0,NA
"GCU",66,193.681818181818,134.825489383175,191,462,3,"GCU",35.8208955223881,2.98507462686567,-4.09090909090909,0,NA
"GI",54,258.12962962963,110.458913440024,266,438,20,"GI",30.9090909090909,5.45454545454545,-3.98148148148148,0,NA
"GMD",56,271.75,148.143941059792,270,530,12,"GMD",33.3333333333333,3.50877192982456,-3.98214285714286,0,NA
"INFO",72,327.652777777778,176.547895566033,338.5,597,14,"INFO",19.1780821917808,10.958904109589,-4.01388888888889,0,NA
"BIM",18,327.833333333333,204.566471291047,416.5,576,19,"BIM",47.3684210526316,10.5263157894737,-4.27777777777778,0,NA
"GE",68,334.352941176471,160.415111201121,369,561,1,"GE",24.6376811594203,10.1449275362319,-4.14705882352941,0,NA
"GMC",87,339.747126436782,169.058213339254,382,568,2,"GMC",20.4545454545455,5.68181818181818,-3.95402298850575,0,NA
"SGM",56,394.767857142857,155.680674467313,444,573,62,"SGM",50.8771929824561,1.75438596491228,-3.85714285714286,0,NA
"TCOM",42,419.904761904762,200.318747162057,467,634,4,"TCOM",16.2790697674419,6.97674418604651,-4.11904761904762,0,NA
"GMPP",25,562.32,121.873814524149,594,640,132,"GMPP",42.3076923076923,3.84615384615385,-4.52,0,NA
