"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"BB",19,154.578947368421,104.764983436194,137,342,19,"BB",65,0,-2.94736842105263,0,NA
"GCU",62,188.596774193548,124.617639421542,181.5,399,6,"GCU",44.4444444444444,1.58730158730159,-3.03225806451613,0,NA
"GEN",45,188.866666666667,117.990870216917,197,377,2,"GEN",58.695652173913,2.17391304347826,-3.04444444444444,0,NA
"GI",54,196,95.2603186110922,199,337,32,"GI",38.1818181818182,7.27272727272727,-3.14814814814815,0,NA
"BIM",16,207.5,173.039494528465,158.5,486,5,"BIM",76.4705882352941,0,-2.875,0,NA
"GMD",55,243.163636363636,129.187455479232,256,434,16,"GMD",30.3571428571429,5.35714285714286,-3,0,NA
"AUT",7,252.714285714286,207.07463572805,201,555,4,"AUT",37.5,12.5,-3.14285714285714,0,NA
"INFO",67,320.208955223881,173.149658275762,345,616,1,"INFO",25,7.35294117647059,-2.97014925373134,0,NA
"SGM",51,335.882352941176,144.778955246793,370,515,54,"SGM",53.8461538461538,1.92307692307692,-2.96078431372549,0,NA
"GMC",79,352.936708860759,171.087347744538,397,559,13,"GMC",38.75,10,-3.11392405063291,0,NA
"GE",67,371.641791044776,184.170186569341,417,594,7,"GE",25,7.35294117647059,-3.14925373134328,0,NA
"TCOM",37,446.486486486487,126.231846136302,467,625,213,"TCOM",26.3157894736842,15.7894736842105,-3.13513513513514,0,NA
"GMPP",33,469.424242424242,111.34406986427,467,601,90,"GMPP",41.1764705882353,20.5882352941176,-3.21212121212121,0,NA
