"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"GMD",61,175.377049180328,123.659770328972,159,629,1,"GMD",14.5161290322581,1.61290322580645,-1.95,0,NA
"BB",19,194.578947368421,116.653006719108,173,397,31,"BB",75,5,-1.94736842105263,0,NA
"GCU",67,196.417910447761,131.535356377614,186,632,2,"GCU",48.5294117647059,0,-1.97014925373134,0,NA
"GI",58,224.068965517241,138.628224521555,221,649,4,"GI",30.5084745762712,5.08474576271187,-1.93103448275862,0,NA
"BIM",16,225.625,149.986610513517,201.5,432,14,"BIM",52.9411764705882,0,-1.875,0,NA
"GEN",47,271.31914893617,162.828544979465,243,514,6,"GEN",45.8333333333333,4.16666666666667,-2.02127659574468,0,NA
"SGM",56,309.482142857143,164.258664204461,324,633,7,"SGM",64.9122807017544,1.75438596491228,-2,0,NA
"AUT",5,347.6,156.988216118281,386,491,96,"AUT",33.3333333333333,0,-1.8,0,NA
"GMCIP",1,351,NA,351,351,351,"GMCIP",100,0,-3,0,NA
"GE",71,361.845070422535,189.804308839192,401,656,20,"GE",16.6666666666667,2.77777777777778,-2.2,0,NA
"TCA",1,369,NA,369,369,369,"TCA",50,0,-2,0,NA
"GMC",90,377.666666666667,148.521931191807,399.5,659,18,"GMC",29.6703296703297,7.69230769230769,-2.15555555555556,0,NA
"INFO",73,413.397260273973,195.574917424814,449,657,3,"INFO",16.2162162162162,6.75675675675676,-2.11111111111111,0,NA
"GMPPA",4,479,258.759862936018,598,628,92,"GMPPA",60,20,-2.5,0,NA
"GEA",2,490.5,75.6604255869606,490.5,544,437,"GEA",100,0,-2.5,0,NA
"TCOM",40,496.4,113.035460739608,523.5,607,47,"TCOM",21.9512195121951,2.4390243902439,-1.975,0,NA
"GMPP",32,548.3125,77.5489179642073,565.5,614,183,"GMPP",42.4242424242424,9.09090909090909,-2.1875,0,NA
"TC",2,621.5,41.7193000900063,621.5,651,592,"TC",66.6666666666667,0,-2,0,NA
