"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"BIM",13,115.384615384615,79.9755571633593,116,247,1,"BIM",78.5714285714286,0,-12.6153846153846,0,NA
"BB",25,190.48,128.748501609404,200,435,2,"BB",73.0769230769231,0,-12.96,0,NA
"GEN",43,209.093023255814,115.576569950811,163,429,4,"GEN",70.4545454545455,9.09090909090909,-12.8837209302326,0,NA
"INFO",76,213.828947368421,145.196821650971,191,494,5,"INFO",10.3896103896104,2.5974025974026,-12.9342105263158,0,NA
"GMD",48,216.9375,160.730302224539,224,498,9,"GMD",8.16326530612245,6.12244897959184,-13.0208333333333,0,NA
"TCOM",54,218.12962962963,145.512503034904,206,531,7,"TCOM",20,5.45454545454545,-13.037037037037,0,NA
"GCU",72,222.291666666667,116.739319262928,220.5,419,9,"GCU",42.4657534246575,4.10958904109589,-13.0694444444444,0,NA
"GE",62,375.467741935484,163.820044985587,423,599,6,"GE",11.1111111111111,11.1111111111111,-13.1129032258065,0,NA
"GI",64,385.25,135.425490555004,402,575,41,"GI",38.4615384615385,15.3846153846154,-13.09375,0,NA
"GMC",84,404.511904761905,140.176265461517,434.5,611,84,"GMC",18.8235294117647,8.23529411764706,-13.0833333333333,0,NA
"AUT",5,405.6,171.561359285825,468,571,121,"AUT",16.6666666666667,0,-13.2,0,NA
"SGM",36,455.416666666667,152.930866733959,501,596,13,"SGM",54.0540540540541,10.8108108108108,-13.0555555555556,0,NA
