"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"BB",22,118.545454545455,56.3067510734745,133.5,237,6,"BB",82.6086956521739,0,-11.0454545454545,0,NA
"GEN",39,163.307692307692,94.3616095683191,173,310,5,"GEN",45,2.5,-10.9487179487179,0,NA
"GMPP",1,198,NA,198,198,198,"GMPP",100,0,-11,0,NA
"GCU",57,199.982456140351,112.110196303852,194,400,8,"GCU",39.6551724137931,6.89655172413793,-11.1228070175439,0,NA
"BIM",13,211.538461538462,126.896687233234,261,408,3,"BIM",64.2857142857143,14.2857142857143,-11.3846153846154,0,NA
"GE",66,251.287878787879,160.222226937033,247,482,1,"GE",16.4179104477612,1.49253731343284,-11.1363636363636,0,NA
"TCOM",50,254.76,143.035540039131,259.5,518,4,"TCOM",31.3725490196078,3.92156862745098,-11.12,0,NA
"GMD",44,257.409090909091,115.220782642033,261,459,28,"GMD",26.6666666666667,4.44444444444444,-10.9772727272727,0,NA
"INFO",60,276.416666666667,168.211659611867,259.5,549,23,"INFO",13.1147540983607,4.91803278688525,-11.2,0,NA
"GI",55,302.145454545455,156.149550607365,331,516,7,"GI",41.0714285714286,3.57142857142857,-10.9454545454545,0,NA
"GMC",77,319.662337662338,156.020293078683,359,515,16,"GMC",16.6666666666667,6.41025641025641,-11.038961038961,0,NA
"AUT",6,325.166666666667,107.982251628065,335,504,212,"AUT",28.5714285714286,28.5714285714286,-11.6666666666667,0,NA
"SGM",39,376.307692307692,111.050522842001,401,497,15,"SGM",65,7.5,-11,0,NA
