"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"BB",19,185.315789473684,115.215282855656,175,407,24,"BB",75,0,-0.947368421052632,0,NA
"GI",56,190.535714285714,103.543572608692,179,381,8,"GI",43.859649122807,3.50877192982456,-0.875,1.78571428571429,1
"GCU",64,227,136.392174983851,241.5,463,2,"GCU",41.5384615384615,4.61538461538462,-0.96875,0,NA
"GEN",46,240.217391304348,126.011624339182,211,431,6,"GEN",44.6808510638298,0,-0.934782608695652,0,NA
"GMD",58,258.879310344828,162.632949941067,258,524,10,"GMD",32.2033898305085,5.08474576271187,-1.06896551724138,0,NA
"TCA",2,301.5,270.821897194448,301.5,493,110,"TCA",33.3333333333333,0,-1,0,NA
"SGM",53,302,159.582267185298,332,492,3,"SGM",37.037037037037,5.55555555555556,-0.962264150943396,0,NA
"GMC",83,313.409638554217,140.011413833038,353,514,9,"GMC",20.2380952380952,9.52380952380952,-1.18072289156627,0,NA
"INFO",75,330.906666666667,204.517043057299,337,620,7,"INFO",17.1052631578947,6.57894736842105,-1.01333333333333,0,NA
"BIM",17,389.647058823529,183.094900658262,442,558,38,"BIM",55.5555555555556,5.55555555555556,-0.941176470588235,0,NA
"GE",71,402.591549295775,209.349439759378,497,629,4,"GE",30.5555555555556,8.33333333333333,-1.15492957746479,1.40845070422535,1
"GMPPA",4,438.25,208.626260731162,470,641,172,"GMPPA",60,20,-2,0,NA
"GEA",2,442,90.5096679918781,442,506,378,"GEA",33.3333333333333,0,-0.5,0,NA
"TCOM",46,464.45652173913,170.941147315123,536.5,652,1,"TCOM",19.1489361702128,10.6382978723404,-1.15217391304348,0,NA
"GMPP",31,507.225806451613,94.7986320848634,545,581,256,"GMPP",53.125,6.25,-1.06451612903226,3.2258064516129,1
"GMCIP",1,531,NA,531,531,531,"GMCIP",50,0,-2,0,NA
