"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"GCU",63,190.984126984127,97.3771338436109,190,365,5,"GCU",35.9375,0,-5.95238095238095,0,NA
"GEN",49,204.102040816327,115.06705380233,224,419,4,"GEN",44,4,-6,0,NA
"SGM",53,252.094339622642,133.758143411467,269,472,7,"SGM",44.4444444444444,3.7037037037037,-6.0377358490566,0,NA
"GI",58,257.586206896552,135.66173547865,284,449,28,"GI",28.8135593220339,10.1694915254237,-6.06896551724138,0,NA
"TCOM",46,280.826086956522,182.359876720953,234.5,582,12,"TCOM",21.2765957446809,8.51063829787234,-6.08695652173913,0,NA
"BIM",18,304.222222222222,218.407216955623,341,588,2,"BIM",73.6842105263158,0,-5.77777777777778,0,NA
"BB",22,307.909090909091,158.829620930255,322,519,17,"BB",86.9565217391304,4.34782608695652,-6.09090909090909,0,NA
"GMD",55,321.2,162.689137792157,358,529,19,"GMD",42.8571428571429,17.8571428571429,-6.21818181818182,0,NA
"GMC",86,335.837209302326,179.762055831664,366.5,584,1,"GMC",21.8390804597701,9.19540229885057,-5.98837209302326,0,NA
"INFO",76,375.105263157895,195.459975711815,424.5,660,8,"INFO",15.5844155844156,1.2987012987013,-6.10526315789474,0,NA
"GE",69,412.768115942029,187.536439198574,472,646,23,"GE",24.2857142857143,8.57142857142857,-6.28985507246377,0,NA
"GMPP",35,579.2,72.468167453839,600,659,264,"GMPP",33.3333333333333,8.33333333333333,-6.2,0,NA
