"","effectif","moyRang","etRang","medRang","pireRang","meilleurRang","departement","pcFilles","pcRedoublants","moyAvance","pcAvance","moyAvanceDesGensEnAvance"
"BIM",13,154.538461538462,89.5075559050886,126,315,3,"BIM",50,0,-14.2307692307692,0,NA
"TCOM",57,202.736842105263,159.773000391604,175,566,13,"TCOM",36.2068965517241,5.17241379310345,-13.9649122807018,0,NA
"BB",23,203,98.6923594721588,194,350,36,"BB",58.3333333333333,0,-13.8695652173913,0,NA
"GEN",46,206.086956521739,128.714468855501,216,456,5,"GEN",55.3191489361702,2.12765957446809,-13.8695652173913,0,NA
"GMD",50,219.66,139.843149745035,204,461,5,"GMD",21.5686274509804,3.92156862745098,-13.92,0,NA
"INFO",76,288.671052631579,157.021645060622,300,552,9,"INFO",12.987012987013,9.09090909090909,-14.0263157894737,0,NA
"GCU",77,311.935064935065,150.717960517959,321,573,10,"GCU",38.4615384615385,10.2564102564103,-14.0779220779221,0,NA
"GE",70,349.671428571429,191.856280859335,392,630,2,"GE",15.4929577464789,7.04225352112676,-14.0428571428571,0,NA
"GI",49,364.836734693878,188.040924949284,355,644,1,"GI",44,10,-14.0408163265306,0,NA
"SGM",44,371.931818181818,195.018830066069,451.5,632,8,"SGM",55.5555555555556,8.88888888888889,-14.0909090909091,0,NA
"GMC",92,405.45652173913,171.112225434839,467,639,29,"GMC",25.8064516129032,18.2795698924731,-14.2065217391304,0,NA
"AUT",7,490.857142857143,87.5983800676485,456,623,389,"AUT",62.5,12.5,-14.5714285714286,0,NA
